nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Diare Akut,FALSE,Hemofilia,"Oralit, Loperamide",Dehidrasi Parah
Kanker Payudara,TRUE,Bronkitis,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Rubella,FALSE,"Malaria, Hemofilia","Vaksinasi, Istirahat",Cacat Janin
Tifus,TRUE,"Kanker Kolorektal, Campak, Cacar Air","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Alzheimer,TRUE,Serangan Jantung,"Donepezil, Memantine",Demensia Berat
Hepatitis C,TRUE,Hepatitis C,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tuberkulosis,TRUE,Epilepsi,"Rifampisin, Isoniazid",Gagal Paru
Pneumonia,TRUE,"Alzheimer, Tifus, Anemia","Azitromisin, Ceftriaxone",Sepsis
Osteoporosis,FALSE,Malaria,"Kalsium, Vitamin D",Fraktur Tulang
Parkinson,FALSE,"Stroke, Bronkitis, Kanker Prostat","Levodopa, Pramipexole",Gangguan Gerak Berat
Pneumonia,FALSE,"Tuberkulosis, Hemofilia, Skizofrenia","Azitromisin, Ceftriaxone",Sepsis
Migraine,FALSE,"Gagal Ginjal, Hepatitis C","Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Kolorektal,TRUE,Asma,"Operasi, Kemoterapi",Metastasis ke Liver
Bipolar,TRUE,"Kanker Prostat, Skizofrenia","Lithium, Antidepresan",Depresi Kronis
Anemia,FALSE,"Kanker Prostat, Gagal Ginjal","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Paru-paru,FALSE,Kanker Kolorektal,"Kemoterapi, Radioterapi",Metastasis ke Otak
Rubella,FALSE,Asma,"Vaksinasi, Istirahat",Cacat Janin
Tuberkulosis,FALSE,"Stroke, Migraine","Rifampisin, Isoniazid",Gagal Paru
Kanker Kolorektal,TRUE,Parkinson,"Operasi, Kemoterapi",Metastasis ke Liver
Influenza,TRUE,Campak,"Oseltamivir, Paracetamol",Pneumonia
Asma,FALSE,Kanker Prostat,"Salbutamol, Budesonide",Gagal Napas
Osteoporosis,FALSE,"Alzheimer, Epilepsi, Diare Akut","Kalsium, Vitamin D",Fraktur Tulang
Demam Berdarah,TRUE,"Migraine, Cacar Air","Rehidrasi, Paracetamol",Syok Dengue
Alzheimer,TRUE,COVID-19,"Donepezil, Memantine",Demensia Berat
Bronkitis,FALSE,"Tuberkulosis, Gastritis, Demam Berdarah","Dextromethorphan, Amoksisilin",Pneumonia
Influenza,TRUE,Bronkitis,"Oseltamivir, Paracetamol",Pneumonia
Serangan Jantung,TRUE,"Migraine, Osteoporosis","Aspirin, Nitrat",Gagal Jantung
Campak,TRUE,Demam Berdarah,"Vitamin A, Paracetamol",Ensefalitis
Artritis Reumatoid,FALSE,Gastritis,"NSAID, Metotreksat",Deformitas Sendi
Pneumonia,TRUE,"Epilepsi, Artritis Reumatoid","Azitromisin, Ceftriaxone",Sepsis
Migraine,FALSE,"Depresi Mayor, Alzheimer, Hemofilia","Sumatriptan, Parasetamol",Gangguan Tidur
Hepatitis B,TRUE,Diare Akut,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Gastritis,TRUE,Asma,"Antasida, Omeprazole",Ulkus Lambung
COVID-19,FALSE,Bipolar,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Skizofrenia,TRUE,"Bipolar, Hemofilia","Risperidone, Olanzapine",Disabilitas Sosial
Depresi Mayor,TRUE,"Cacar Air, Hipertensi","SSRI, Psikoterapi",Bunuh Diri
Diare Akut,TRUE,Cacar Air,"Oralit, Loperamide",Dehidrasi Parah
Malaria,TRUE,Migraine,"Klorokuin, Artemisinin",Anemia Berat
Hemofilia,TRUE,"Osteoporosis, Epilepsi, Kanker Kolorektal",Transfusi Faktor VIII,Pendarahan Internal
Alzheimer,FALSE,Tuberkulosis,"Donepezil, Memantine",Demensia Berat
Osteoporosis,FALSE,"Artritis Reumatoid, Osteoporosis","Kalsium, Vitamin D",Fraktur Tulang
Anemia,TRUE,"Diare Akut, Osteoporosis","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Migraine,FALSE,Anemia,"Sumatriptan, Parasetamol",Gangguan Tidur
Malaria,TRUE,"Influenza, Epilepsi","Klorokuin, Artemisinin",Anemia Berat
Tuberkulosis,FALSE,"Diabetes Mellitus, Parkinson","Rifampisin, Isoniazid",Gagal Paru
Kanker Prostat,TRUE,"Migraine, Hepatitis B, Anemia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Depresi Mayor,TRUE,Kanker Kolorektal,"SSRI, Psikoterapi",Bunuh Diri
Skizofrenia,FALSE,"Artritis Reumatoid, Stroke, Asma","Risperidone, Olanzapine",Disabilitas Sosial
Malaria,FALSE,"Alzheimer, Bronkitis","Klorokuin, Artemisinin",Anemia Berat
COVID-19,FALSE,"Bipolar, Pneumonia, Hemofilia","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Demam Berdarah,TRUE,"Diabetes Mellitus, Alzheimer","Rehidrasi, Paracetamol",Syok Dengue
Serangan Jantung,FALSE,"Parkinson, Kanker Payudara, Kanker Kolorektal","Aspirin, Nitrat",Gagal Jantung
Cacar Air,TRUE,"Depresi Mayor, Bipolar, COVID-19","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
COVID-19,TRUE,Epilepsi,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Rubella,FALSE,Bipolar,"Vaksinasi, Istirahat",Cacat Janin
Bipolar,FALSE,"Influenza, Tuberkulosis, Hepatitis B","Lithium, Antidepresan",Depresi Kronis
Cacar Air,FALSE,"Migraine, Osteoporosis","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Bronkitis,TRUE,"Kanker Prostat, Rubella, Parkinson","Dextromethorphan, Amoksisilin",Pneumonia
Gagal Ginjal,TRUE,"Kanker Payudara, Bronkitis, Alzheimer","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Malaria,FALSE,Kanker Prostat,"Klorokuin, Artemisinin",Anemia Berat
Pneumonia,TRUE,"Diabetes Mellitus, Tifus","Azitromisin, Ceftriaxone",Sepsis
Epilepsi,FALSE,Pneumonia,"Fenitoin, Valproat",Gangguan Kognitif
Cacar Air,FALSE,Diare Akut,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Asma,TRUE,"Tuberkulosis, Gagal Ginjal","Salbutamol, Budesonide",Gagal Napas
Hemofilia,TRUE,"Cacar Air, Migraine",Transfusi Faktor VIII,Pendarahan Internal
Bronkitis,TRUE,"Kanker Paru-paru, Kanker Payudara","Dextromethorphan, Amoksisilin",Pneumonia
Osteoporosis,FALSE,"Pneumonia, Campak, Depresi Mayor","Kalsium, Vitamin D",Fraktur Tulang
Gagal Ginjal,FALSE,"Tifus, Depresi Mayor","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Serangan Jantung,TRUE,Tifus,"Aspirin, Nitrat",Gagal Jantung
Diabetes Mellitus,FALSE,Diabetes Mellitus,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Tifus,FALSE,"Campak, Hepatitis C, Influenza","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Rubella,TRUE,"Depresi Mayor, Kanker Paru-paru","Vaksinasi, Istirahat",Cacat Janin
Kanker Kolorektal,FALSE,"Serangan Jantung, Depresi Mayor, Kanker Kolorektal","Operasi, Kemoterapi",Metastasis ke Liver
Tifus,TRUE,"Kanker Paru-paru, Malaria","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Campak,FALSE,"Serangan Jantung, Kanker Payudara, Parkinson","Vitamin A, Paracetamol",Ensefalitis
Kanker Kolorektal,TRUE,Osteoporosis,"Operasi, Kemoterapi",Metastasis ke Liver
Gagal Ginjal,FALSE,Pneumonia,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Malaria,FALSE,Epilepsi,"Klorokuin, Artemisinin",Anemia Berat
Rubella,FALSE,"Demam Berdarah, Parkinson","Vaksinasi, Istirahat",Cacat Janin
Pneumonia,FALSE,"Hemofilia, Migraine","Azitromisin, Ceftriaxone",Sepsis
Artritis Reumatoid,TRUE,Gagal Ginjal,"NSAID, Metotreksat",Deformitas Sendi
Serangan Jantung,TRUE,"Hepatitis C, COVID-19","Aspirin, Nitrat",Gagal Jantung
Anemia,TRUE,"Diare Akut, Alzheimer, Tifus","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Depresi Mayor,FALSE,"Bronkitis, Malaria, Hepatitis C","SSRI, Psikoterapi",Bunuh Diri
Artritis Reumatoid,TRUE,"Diabetes Mellitus, Serangan Jantung","NSAID, Metotreksat",Deformitas Sendi
Influenza,TRUE,Malaria,"Oseltamivir, Paracetamol",Pneumonia
Stroke,FALSE,"Stroke, Tifus","Antikoagulan, Rehabilitasi",Kelumpuhan
Anemia,FALSE,"Osteoporosis, Skizofrenia","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Anemia,FALSE,"Osteoporosis, Bronkitis, Skizofrenia","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Artritis Reumatoid,FALSE,"Diabetes Mellitus, Hipertensi, Osteoporosis","NSAID, Metotreksat",Deformitas Sendi
Gagal Ginjal,FALSE,"Kanker Payudara, Kanker Kolorektal, Hemofilia","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
